component_id	canonical_repository_or_source	exact_revision_used	version_or_tag	digest_if_model	role	license	license_source	experimental_or_supporting	distribution_state	anticube_state	claim_ceiling	evidence_reference
hydradg	https://github.com/biobitworks/hydradg	5208b9292452a457aba9da48cb26b3d08f7d42a9	0.3.7		Governed experimental framework	MIT	LICENSE	experimental	internal_anon_bundle	SELF+SAFE	CUSTODY_MECHANICS	paper/newinml2026_solo/final_v4
fco_fcg	companion preprint lineage	zenodo.21829929	v4/v5		Custody object/graph formalism	CC BY-NC-ND 4.0	Zenodo record	supporting	external_preprint	NON_SELF+SAFE	FRAMEWORK_PROVENANCE	tables/A6_PRIOR_SHARED_PREPRINT_LINEAGE.tsv
gsigmad	https://github.com/biobitworks/gettingsciencedone	see_portfolio_glossary	gsigmad-		Mechanical Scientific Method orchestration	see_upstream	upstream LICENSE	supporting	portfolio_reference	NON_SELF+SAFE	GOVERNANCE_ONLY	figures/FIG-008_gsigmad_governance.png
seedgraph	HydraDG_DaisyTrain_v0.3.7/seedgraph	5208b9292452a457aba9da48cb26b3d08f7d42a9	v1a		Hierarchical atomization (interrupted)	MIT	LICENSE	supporting	partial_internal	SELF+NON_SAFE	PARTIAL_CORPUS	figures/FIG-010_seedgraph_hierarchy.png
ollarma	active/ollarma	portfolio_runtime	20260827		Governed local model bridge	MIT	upstream LICENSE	supporting	internal	NON_SELF+SAFE	INFRASTRUCTURE	successor_recovery/SOFTWARE_BOM.tsv
hydralamp	eval/hydralamp_runtype_20260826	5208b9292452a457aba9da48cb26b3d08f7d42a9	20260826		Systems-validation implementation	MIT	LICENSE	experimental	internal	SELF+SAFE	SYSTEMS_VALIDATION_ONLY	tables/T2_SYSTEMS_VALIDATION_VS_CLAIM_CEILING.tsv
hydradb	scripts/project_*_hydradb.py	5208b9292452a457aba9da48cb26b3d08f7d42a9	20260820		Graph projection/readback	MIT	LICENSE	supporting	internal	SELF+SAFE	PARTIAL_READBACK	successor_recovery/EXPERIMENT_MASTER_LEDGER.tsv
antigence	active/antigence	NOT_IN_SOLO_REPO	experimental		Related security implementation	see_upstream	upstream	supporting	NOT_ADMITTED_PRIMARY	NON_SELF+NON_SAFE	NOT_ADMISSIBLE_PRIMARY	successor_recovery/appendices/E_antigence.md
vithia	zenodo.21829929 companion	zenodo.21829929	companion		Companion framework evidence	CC BY-NC-ND 4.0	Zenodo	supporting	external_preprint	NON_SELF+SAFE	ZERO_PRIMARY_WEIGHT	tables/A6_PRIOR_SHARED_PREPRINT_LINEAGE.tsv
qwen3-1.7b	ollama	frozen_runtime_digest	qwen3:1.7b	see_EXP-008_verdict	Primary experiment model	model_license	Ollama manifest	experimental	local_runtime	SELF+SAFE	UNDERPOWERED	provenance/admitted/*EXP-008*
qwen2.5-coder-7b	ollama	frozen_runtime_digest	qwen2.5-coder:7b	see_EXP-009_verdict	Primary experiment model	model_license	Ollama manifest	experimental	local_runtime	SELF+SAFE	UNDERPOWERED	provenance/admitted/*EXP-009*
neurips2026_style	official NeurIPS 2026 kit	source_freeze	2026		Manuscript template	NeurIPS kit terms	kit zip	supporting	bundled_sty	NON_SELF+SAFE	TEMPLATE	manuscript/neurips_2026.sty
cases_jsonl	eval/ic_failure_learning_20260827/cases/CASES.jsonl	frozen	20260828		Primary experiment dataset	MIT	repo	experimental	internal_frozen	SELF+SAFE	PRIMARY_EVIDENCE	successor_recovery/DATASET_BOM.tsv
