figure_id	figure_type	figure_question	H0	data_source	data_sha256	output_sha256
F1	CONCEPTUAL_MECHANISM	Proposed intellectual hierarchy with bounded Vithia and underpowered EXP lanes	HYPOTHESIS_FRAMEWORK=NOT_APPLICABLE	paper/newinml2026_solo/final_v4/manuscript/figures/F1_msm_hierarchy.png	b7ed213d81d8c613a0d5c9b6bc03e73380647c32017f058c7c075999fe796611	b7ed213d81d8c613a0d5c9b6bc03e73380647c32017f058c7c075999fe796611
F2	EMPIRICAL_STATISTICAL	Do structured FCG conditions differ from flat prose on E06 under preregistered paired design?	Delta primary endpoint = 0	paper/newinml2026_solo/final_v4/comprehensive_v2/figure_specs/F2_PRIMARY_HYPOTHESIS_DATA.json	232fe68c3d78fdb781b9b5da5fa38213406ba511b77d5ff65562ff35b6e22d99	af1d6a45aab45ef9e2f9dfe3bc875936bf0463b65df53d786d28627ef602b9b3
F3	EMPIRICAL_STATISTICAL	Attrition from raw cells to paired/discordant evidence	N/A attrition descriptive	paper/newinml2026_solo/final_v4/comprehensive_v2/figure_specs/F3_ATTRITION_FLOW_DATA.json	448d4dca9ef6afcb4b4c0d8b88178a5d79a4b20bc9470160f11617f1b21435d8	f0cfba4a2d6cc2ebbd5cbdcc6982cf09a4779beb342e5ca9ad3e34ffd9159e19
F4	AI_MODEL_EVALUATION	Does structured retrieval change frozen primary scorer vs control on LongMem track03?	Delta frozen scorer = 0	paper/newinml2026_solo/final_v4/comprehensive_v2/figure_specs/F4_HISTORICAL_RETRIEVAL_DATA.json	cdd9553839776ba8dce656530c0b594bb82a2d1cf146837ebdbf211d1867bf65	f62a00ec60f72a85dc85498f0ce1d5cbdba926e255a05d39a9e34e2903fd3d9d
F5	AI_MODEL_EVALUATION	Does a larger retrieval budget change frozen scorer behavior?	Delta=0 at each K	paper/newinml2026_solo/final_v4/comprehensive_v2/figure_specs/F4_HISTORICAL_RETRIEVAL_DATA.json	cdd9553839776ba8dce656530c0b594bb82a2d1cf146837ebdbf211d1867bf65	0929f4a36ffff5047b61a826a7ef82f83e9084ecf8ac5f3d03d5547a49e4e5e3
F6	ROBUSTNESS_FAULT_INJECTION	Does custody verification survive controlled perturbations?	Expected gate behavior under perturbation	paper/newinml2026_solo/final_v4/comprehensive_v2/figure_specs/F6_HYDRALAMP_MATRIX_DATA.json	3481402d13c8a5537dc8b85866889cd5bed9ab0e5bfc7efb93e8213661859554	303757cf405146d6603ce81aa62dca5bb8d2b8b481198e0aff6fe149d73f356e
F7	ROBUSTNESS_FAULT_INJECTION	Which tamper modes does hash-chain verification detect?	All tamper modes detected	paper/newinml2026_solo/final_v4/comprehensive_v2/figure_specs/F7_TAMPER_MODES_DATA.json	aea479997378207763e1c6c6c67998df58b15708d78e70193084674d0303b161	7edd7451c862d0e2798c41ab2566df2d75d59dfdf32ae46746d80a99ee334787
F8	SYSTEMS_COMPUTER_SCIENCE	Do concurrency, replay, and provider gates preserve failure-complete states?	N/A	paper/newinml2026_solo/final_v4/comprehensive_v2/figure_specs/F8_SYSTEMS_STATE_DATA.json	e852bc5f8e3fff5485d74a64a9cedfa4f0dcddfaab91e390651108d13192c79e	089105024dc2d854f48c429bc980f1d0d2a605b2ccadb35587d984b3e84eec26
F9	SYSTEMS_COMPUTER_SCIENCE	Mechanism evidence only — not biological validation	N/A			96ab1a50df8ba58359155fe1734008ab917955da217d693fbf39eae7e7a49c62
F10	CROSS_IMPLEMENTATION_COMPARISON	Cross-implementation comparison blocked — no checkout artifacts	N/A			e396279f332c72b22b8b8c8fae82bb825d9b0f28eeb7eafaf54f970dd5ec1ae4
F11	CONCEPTUAL_MECHANISM	Canonical quadrant semantics; examples in ledger	N/A			1e5418fc822ed62ee53f9c79056b0d7de56ea76af957978f4247499fc9150151
F12	CONCEPTUAL_MECHANISM	Sparse canonical history only	N/A	paper/newinml2026_solo/final_v4/comprehensive_v2/figure_specs/F12_ANTICUBE_TRAJECTORY_DATA.json	175e75c2d310f5bd308c848025fd63002b7a086adae09c6f92f5495cce7e737d	c01c15660f21ac507531f66d7f5d4d8fc9d75860d034f8a242de8eebf64b5fff
F13	SYSTEMS_COMPUTER_SCIENCE	What fraction of the frozen source universe is atomized and verified?	N/A	paper/newinml2026_solo/final_v4/comprehensive_v2/figure_specs/F13_SEEDGRAPH_COVERAGE_DATA.json	cfd5cba2aff7426b79040bfc958dbe656f4a7db425937e278fc818c232306227	1f785607216cf67048c6162e71b2c9187a0273e227f9bb573cbb64869cefcf43
F14	CUSTODY_PROVENANCE	Bidirectional provenance for material result	N/A	paper/newinml2026_solo/final_v4/comprehensive_v2/figure_specs/F2_PRIMARY_HYPOTHESIS_DATA.json	232fe68c3d78fdb781b9b5da5fa38213406ba511b77d5ff65562ff35b6e22d99	501ca8bb31ecd3468c9e8cab1cae13569ea26e773bc33cccabba3468a7341322
F15	REPRODUCIBILITY	PASS	N/A			44ad0638b53153f60373394764fbace67b92498cc2d16f93250847dab2e5d50e
F16	CONCEPTUAL_MECHANISM	Does not replace neighboring systems	N/A			d79fbf807e9b9fe936cf3db889ff9a2d85f20bf720d7e7ca54676211672bac7d
